,name,artists,genre
674,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
675,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
676,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
677,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
678,Khamoshiyan,Various Artists,
679,Samba Vexillographica,Devendra Banhart,freak folk
680,A Sight to Behold,Devendra Banhart,freak folk
681,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
682,Moonlight Sonata (2nd Movement),Rousseau,
683,Moonlight Sonata (3rd Movement),Rousseau,
684,Moonlight Sonata (1st Movement),Rousseau,
685,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
686,Uprising,Muse,"modern rock,permanent wave,rock"
687,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
688,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
689,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
690,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
691,Black Water,Timber Timbre,"new weird america,toronto indie"
692,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
693,Sea Horse,Devendra Banhart,freak folk
694,Sthlm Sunset,Ehrling,tropical house
695,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
696,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
697,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
698,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
699,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
